pc4,buurt_key,address_count
3035,05990535,2520
3036,05990535,2439
3037,05990534,2140
3038,05990531,2032
3039,05990532,2335
3041,05990558,80
3042,05990451,3070
3043,05990456,2723
3044,05991853,913
3045,05990455,1872
3046,05990454,155
3047,05992459,710
3051,05990661,2738
3052,05990660,2841
3053,05990660,4764
3054,05990662,3850
3055,05990665,3520
3056,05990664,1335
3059,05991468,5278
3061,05990841,5657
3062,05990842,3096
3063,05990845,2753
3064,05991446,715
3065,05991444,3602
3066,05991448,5584
3067,05991449,6222
3068,05991463,7057
3069,05991463,6484
3071,05991079,4398
3072,05991085,4588
3073,05991081,4560
3074,05991082,2840
3075,05991080,6966
3076,05991284,7450
3077,05991290,5018
3078,05991289,6769
3079,05991289,8087
3081,05991571,2959
3082,05991574,3448
3083,05991572,2660
3084,05991575,832
3085,05991573,6313
3086,05991577,4737
3087,05991574,895
3088,05992198,325
3089,05991593,807
3111,06060001,1237
3112,06060103,900
3113,06060108,170
3114,06060401,910
3115,06060201,109
3116,06060307,548
3117,06060302,821
3118,06060610,1306
3119,06060606,941
3121,06060502,654
3122,06060703,1229
3123,06060903,1017
3124,06061004,740
3125,06060802,288
3131,06220103,3346
3132,06220203,1988
3133,06220307,902
3134,06220402,2834
3135,06220503,1940
3136,06220606,1631
3137,06220706,1389
3138,06220801,38
3141,05560301,1553
3142,05560201,1246
3143,05560101,1609
3144,05560403,1060
3145,05560501,2099
3146,05560602,1213
3147,05560801,963
3151,05991702,3892
3155,18420100,2100
3161,06130205,895
3162,06130626,1318
3165,06130706,57
3171,06130311,760
3172,06130311,193
3176,06130101,918
3181,05992704,6043
3191,05991699,5022
3192,05991699,6625
3193,05991692,3002
3194,05991692,3223
3195,05991391,2309
3196,05992295,48
3197,05992306,216
3198,05992307,140
3199,05992308,178
3201,19301001,1185
3202,19300302,868
3203,19300703,546
3204,19301202,648
3205,19301407,595
3206,19301301,1164
3207,19301504,1786
3208,19301101,1927
3209,19305001,738
3211,19302702,561
3212,19303302,224
3214,19303101,1370
3216,19302901,408
3218,19302503,458
3221,19920005,846
3222,19920101,615
3223,19920502,759
3224,19920302,1239
3225,19920402,1210
3227,19921001,513
3231,19923000,1695
3232,19923003,1402
3233,19922100,2134
3234,19922109,107
3235,19922004,949
3237,19923100,524
3238,19923201,419
3241,19240301,1006
3243,19241201,635
3244,19241101,1062
3245,19241004,823
3247,19240701,899
3248,19240801,791
3249,19240901,489
3251,19240202,922
3252,19240001,825
3253,19240104,1739
3255,19240601,788
3256,19241301,351
3257,19240401,1023
3258,19240501,586
3261,19630007,1972
3262,19630004,1646
3263,19630005,1376
3264,19631300,1619
3265,19631200,685
3267,19631100,728
3271,19630200,1729
3273,19630300,864
3274,19630100,1229
3281,19630900,4034
3284,19631000,1401
3286,19630800,1622
3291,19630700,3445
3292,19630799,229
3293,19630799,207
3295,19630600,3753
3297,19630400,3499
3299,19630500,1272
3311,05050200,1300
3312,05050505,1214
3313,05050605,921
3314,05050301,893
3315,05051109,1486
3316,05051917,422
3317,05050800,2618
3318,05050901,2090
3319,05051006,2202
3328,05050908,1330
3329,05051011,403
3331,06420303,675
3332,06420112,778
3333,06420508,489
3334,06420604,413
3335,06420403,564
3336,06420701,108
3341,05310102,1595
3342,05310101,1888
3343,05310202,1517
3344,05310301,2823
3351,05900102,1329
